Title,Release Date,US Sales
Dangerously in Love,6/23/03,"5,100,000"
B'Day,9/1/06,"3,610,000"
I Am... Sasha Fierce,11/14/08,"3,380,000"
4,6/24/11,"1,500,000"
Beyonc̩,12/13/13,"2,512,000"
Lemonade,4/23/16,"1,554,000"
